LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime
1051178,78837,False,38.51006577,-122.6916491,-1.0,-1.0,400.0,18,716.0,-1.0
900000,50000,False,38.51111184,-122.6927183,-1.0,-1.0,334.0,20,1137.0,-1.0
166541,165958,True,38.51102148,-122.6940486,539.0,883.0,-1.0,21,344.0,712.0
66150,253967,True,38.51398141,-122.6960185,392.0,679.0,-1.0,18,287.0,508.0
537170,586449,True,38.51304744,-122.7013084,498.0,1479.0,62.0,20,981.0,436.0
179223,279033,True,38.51534297,-122.6975838,400.0,737.0,64.0,20,337.0,336.0
225692,439357,False,38.5166705,-122.6965548,802.0,1154.0,156.0,17,352.0,646.0
68863,342625,False,38.51857891,-122.6974404,1109.0,1228.0,126.0,17,119.0,983.0
762000,763000,True,38.52072105,-122.7015115,442.0,863.0,37.0,23,421.0,405.0
1226118,1256671,True,38.51619366,-122.6893868,632.0,1206.0,204.0,10,574.0,428.0
288569,368609,True,38.51325855,-122.6870329,695.0,1044.0,168.0,11,349.0,527.0
364030,917561,False,38.5185583,-122.699235,1440.0,1623.0,90.0,22,183.0,1350.0
625187,207400,False,38.52161307,-122.7029258,741.0,1233.0,167.0,28,492.0,574.0
138132,622246,True,38.51497562,-122.692655,1026.0,1225.0,28.0,16,199.0,998.0
64853,127355,True,38.4849745,-122.669418,526.0,842.0,110.0,15,316.0,416.0
156766,451307,True,38.48514474,-122.6756727,-1.0,-1.0,163.0,30,357.0,-1.0
307081,300256,True,38.48515335,-122.6741486,356.0,701.0,60.0,28,345.0,296.0
161667,146004,False,38.48515694,-122.6736339,522.0,1036.0,164.0,25,514.0,358.0
183972,165571,True,38.49783874,-122.6852893,203.0,430.0,-1.0,33,227.0,259.0
160151,80715,True,38.49726702,-122.6851708,609.0,1262.0,92.0,32,653.0,517.0
156766,285750,False,38.49745268,-122.6837956,889.0,1077.0,31.0,34,188.0,858.0
234600,10200,False,38.49696466,-122.6844704,-1.0,-1.0,166.0,33,1230.0,-1.0
301443,451395,True,38.49713875,-122.6847919,545.0,741.0,65.0,32,196.0,480.0
30179,105480,True,38.49814547,-122.682867,-1.0,-1.0,-1.0,37,434.0,-1.0
418158,371518,True,38.48420064,-122.6818989,727.0,1126.0,124.0,23,399.0,603.0
346888,156903,True,38.48376575,-122.6818612,560.0,1108.0,99.0,23,548.0,461.0
450710,585927,False,38.48330371,-122.6814745,363.0,786.0,69.0,23,423.0,294.0
548695,457220,False,38.48314422,-122.6825359,820.0,990.0,110.0,20,170.0,710.0
382825,610909,True,38.48255159,-122.6824697,474.0,827.0,138.0,20,353.0,336.0
702165,1081140,False,38.4838571,-122.6852179,975.0,1135.0,126.0,19,160.0,849.0
19004,129892,True,38.48551118,-122.6810927,551.0,890.0,88.0,29,339.0,463.0
150458,320179,True,38.48551438,-122.6805352,482.0,727.0,41.0,29,245.0,441.0
170216,323386,True,38.48549844,-122.6794873,-1.0,-1.0,44.0,29,336.0,-1.0
110373,394763,True,38.48547515,-122.6785151,574.0,1119.0,170.0,29,545.0,404.0
255284,416609,True,38.48501154,-122.6808896,500.0,633.0,115.0,28,133.0,385.0
285600,10200,False,38.48465787,-122.6798837,-1.0,-1.0,-1.0,26,1681.0,-1.0
110373,303560,True,38.48431956,-122.6799031,840.0,1176.0,57.0,26,336.0,783.0
19384,94026,False,38.4843957,-122.6808336,568.0,1046.0,159.0,26,478.0,409.0
468918,846357,True,38.48414177,-122.6808977,870.0,1212.0,359.0,26,342.0,511.0
19384,158943,True,38.48379599,-122.6809554,862.0,941.0,161.0,26,79.0,701.0
147250,326886,True,38.49620125,-122.6983221,-1.0,-1.0,66.0,42,227.0,-1.0
398999,661094,True,38.49618213,-122.7006071,577.0,1315.0,115.0,46,738.0,462.0
112826,287213,True,38.49614725,-122.6990976,393.0,773.0,181.0,43,380.0,212.0
54415,158999,True,38.4963275,-122.7020494,405.0,930.0,157.0,46,525.0,248.0
315000,394562,False,38.49471778,-122.7029391,-1.0,-1.0,57.0,45,373.0,-1.0
260036,406294,True,38.49514345,-122.7029775,550.0,871.0,163.0,47,321.0,387.0
409445,421152,True,38.49405387,-122.7030226,656.0,1169.0,174.0,43,513.0,482.0
313000,463047,True,38.49341709,-122.703181,-1.0,-1.0,63.0,38,223.0,-1.0
85041,241625,True,38.49521781,-122.7016653,640.0,1021.0,89.0,45,381.0,551.0
155791,164957,False,38.49329002,-122.7017175,-1.0,-1.0,45.0,36,580.0,-1.0
391614,257641,False,38.49421996,-122.7002021,904.0,1184.0,101.0,41,280.0,803.0
112826,364156,True,38.49533562,-122.6991347,896.0,1192.0,85.0,42,296.0,811.0
163983,245975,True,38.49632603,-122.7042266,-1.0,-1.0,92.0,49,1175.0,-1.0
349000,1050000,False,38.4957201,-122.7021691,340.0,1473.0,94.0,46,1133.0,246.0
224146,309307,True,38.49419339,-122.7012208,1310.0,1606.0,54.0,42,296.0,1256.0
289665,398581,True,38.50176733,-122.7011882,466.0,847.0,155.0,49,381.0,311.0
546823,458322,False,38.50134072,-122.6978381,405.0,973.0,323.0,43,568.0,82.0
24243,99702,True,38.50185572,-122.7019549,-1.0,-1.0,-1.0,50,540.0,-1.0
53352,220601,True,38.48766851,-122.6772297,538.0,770.0,22.0,34,232.0,516.0
306000,10200,False,38.50063794,-122.6992391,547.0,1730.0,161.0,47,1183.0,386.0
29092,30396,True,38.49991907,-122.6996544,-1.0,-1.0,142.0,49,407.0,-1.0
270300,10200,True,38.5011823,-122.700556,-1.0,-1.0,106.0,51,1422.0,-1.0
305000,412718,True,38.50073513,-122.7008506,711.0,1043.0,159.0,50,332.0,552.0
1148327,1527794,False,38.50883133,-122.6974069,303.0,682.0,126.0,25,379.0,177.0
75313,227307,True,38.50575825,-122.6996574,662.0,1133.0,139.0,39,471.0,523.0
1748425,232551,True,38.50768762,-122.700614,584.0,891.0,44.0,40,307.0,540.0
309570,10200,False,38.49927388,-122.7040151,492.0,1779.0,60.0,54,1287.0,432.0
108377,99448,True,38.49979253,-122.7031186,-1.0,-1.0,133.0,54,583.0,-1.0
316254,754150,True,38.50039703,-122.7031587,499.0,687.0,44.0,54,188.0,455.0
348465,927510,True,38.49956991,-122.7018536,370.0,892.0,76.0,50,522.0,294.0
300000,402249,True,38.49831405,-122.7027468,-1.0,-1.0,97.0,52,213.0,-1.0
412226,736855,False,38.50270615,-122.703459,441.0,631.0,36.0,58,190.0,405.0
385000,171024,True,38.50281111,-122.7041738,769.0,953.0,109.0,57,184.0,660.0
329781,20611,False,38.5034049,-122.7044157,-1.0,-1.0,169.0,54,1470.0,-1.0
295898,390587,False,38.50181858,-122.7026356,442.0,765.0,61.0,56,323.0,381.0
260434,53153,True,38.50105251,-122.7020743,-1.0,-1.0,111.0,52,548.0,-1.0
29092,156721,True,38.50182822,-122.7032937,483.0,878.0,123.0,56,395.0,360.0
340680,10200,False,38.50109707,-122.704288,-1.0,-1.0,-1.0,57,1326.0,-1.0
396381,368072,False,38.50069779,-122.7042614,609.0,869.0,89.0,55,260.0,520.0
331406,246128,True,38.50027974,-122.7042847,826.0,1119.0,57.0,55,293.0,769.0
187650,75375,True,38.49746732,-122.6812704,-1.0,-1.0,250.0,38,680.0,-1.0
191398,646678,False,38.4990767,-122.679463,717.0,962.0,181.0,34,245.0,536.0
682414,824453,True,38.50041102,-122.6810069,631.0,994.0,67.0,36,363.0,564.0
820234,350840,False,38.50104605,-122.6792432,627.0,854.0,28.0,29,227.0,599.0
580068,973159,False,38.50027916,-122.6763017,617.0,820.0,108.0,19,203.0,509.0
