BuildingID,NoStories,FlArea,NoUnits,ConstYear,BuildVal,PermitDesc,PermitType,DateEvent,DateApplied,CheckDate,DateRecvd,DateFinaled,DateExpired,TimetoApply,RepairTime,TimetoFinal,,
249,0,1274,1,1955,241547,DEMO CHIMNEY AND SEAL UP WALL,FIREPLACE,8/24/14,9/23/14,TRUE,9/30/14,10/16/14,NULL,30,23,53,,
261,0,52568,1,NULL,1342791,COM - WATER INTRUSION -REPAIR/REMOVE/REPLACE SHEETROCK,MINOR BUILDING,8/24/14,39947,FALSE,39858,9/30/14,NULL,12,25,37,,
275,0,1728,1,1987,283645,REPAIR MASONRY CHIMNEY PER CITY SPECS,FIREPLACE,8/24/14,40435,FALSE,40616,1/22/15,NULL,46,105,151,,
283,0,4913,1,1991,692603,REMOVE AND REPAIR DAMAGED ORNAMENTAL COLUMNS ON FRONT PORCH,MINOR BUILDING,8/24/14,39947,FALSE,40161,9/15/14,NULL,12,10,22,,
296,0,1332,1,1935,596719,INSTALL METAL BRACE TO CHIMNEY PER CITY OF NAPA HANDOUT.,FIREPLACE,8/24/14,39947,FALSE,40435,4/15/15,NULL,12,222,234,,
299,0,10018.8,1,NULL,201305,NULL,NULL,8/24/14,39947,FALSE,7/21/15,10/30/15,NULL,12,420,432,,
307,0,1410,1,1936,54264,REPLACE PERIMETER FOUNDATION,FOUNDATION,8/24/14,9/29/14,TRUE,11/13/14,1/28/15,NULL,36,121,157,,
309,0,2266,1,1976,133630,SEAL AND CAP DAMAGED CHIMNEY,FIREPLACE,8/24/14,9/18/14,TRUE,9/16/14,9/26/14,NULL,25,8,33,,
327,0,22260,1,1915,879735,COM - REPLACE PLASTER INTERIOR ONLY),MINOR BUILDING,8/24/14,39947,FALSE,10/20/14,4/21/15,NULL,12,228,240,,
328,0,1140,1,1956,467046,SEAL ROOF AND REMOVE CHIMNEY AND SEAL WALL,FIREPLACE,8/24/14,39947,FALSE,40070,6/18/15,NULL,12,286,298,,
330,0,1157,1,1950,191898,REMOVE BRICK FIREPLACE, REBUILD W/WOOD FRAME,8/24/14, GAS FIREPLACE,FALSE,FIREPLACE,9/23/14,11/24/14,,,30,,
331,0,2200,1,1950,159228,REBUILD MASONRY CHIMNEY PER NAPA CITY SPECS,FIREPLACE,8/24/14,39947,FALSE,10/17/14,2/20/15,NULL,12,168,180,,
354,0,1275,1,1935,66773,REPAIR STRUCTUAL ROOF DAMAGE, CAP & SEAL FIREPLACE,8/24/14,FIREPLACE,TRUE,39947,9/23/14,39644,,,30,,
355,0,7405.2,1,NULL,187192,REPLACE GIRDERS UNDER FRONT HOUSE,MINOR BUILDING,8/24/14,40251,FALSE,40708,5/14/15,NULL,40,223,263,,
357,0,890,1,1910,795905,FOUNDATION REPLACEMENT,FOUNDATION,8/24/14,39947,FALSE,4/16/15,7/17/15,NULL,12,315,327,,
384,0,1011,1,1966,139837,SEAL AND CAP DAMAGED CHIMNEY,FIREPLACE,8/24/14,39947,FALSE,9/25/14,8/21/15,NULL,12,350,362,,
387,0,3610,1,1887,505845,DEMO AND SEAL 4 CHIMNEYS ABOVE ROOF LINE,FIREPLACE,8/24/14,40131,FALSE,9/19/14,11/15/16,NULL,18,796,814,,
392,0,1599,1,1979,210003,RETRO FITTING MASONARY FIREPLACE WITH FACTORY BUILT METAL,FIREPLACE,8/24/14,39947,FALSE,40070,11/13/14,NULL,12,69,81,,
397,0,2272,1,1918,371221,REPAIR/REPLACE PORCH POSTS / REPAIR GAS LINE,MINOR BUILDING,8/24/14,39947,FALSE,9/15/14,12/30/15,NULL,12,481,493,,
