LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost
201210,301818,True,38.49479626,-122.7461057,327.0,587.0,65.0,282,260.0,262.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
215179,408306,False,38.49488999,-122.7459761,192.0,717.0,63.0,283,525.0,129.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
304841,651772,False,38.49372349,-122.7456804,196.0,359.0,8.0,247,163.0,188.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Custom,271167.0
208812,541533,True,38.49354217,-122.7456672,463.0,654.0,-1.0,239,191.0,486.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
440000,660000,False,38.49343079,-122.745509,203.0,415.0,46.0,238,212.0,157.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
130340,444031,True,38.4933697,-122.7453323,587.0,1009.0,78.0,237,422.0,509.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
304841,619144,False,38.49327996,-122.7451988,181.0,309.0,13.0,234,128.0,168.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Custom,271167.0
304841,640363,False,38.49318489,-122.7450701,183.0,311.0,19.0,231,128.0,164.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Average,208675.0
294329,635962,True,38.49309222,-122.7449403,232.0,464.0,76.0,227,232.0,156.0,1,1.1582019848219498,1960,Post1940,RES1,2,False,1700,Average,208675.0
130340,173727,False,38.4930037,-122.744806,666.0,1050.0,37.0,225,384.0,629.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
130340,112925,False,38.49291807,-122.7446689,734.0,1213.0,35.0,223,479.0,699.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Custom,271167.0
212354,369988,False,38.49279455,-122.7444969,-1.0,-1.0,15.0,220,280.0,-1.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
162496,446836,False,38.49281362,-122.7436486,354.0,546.0,27.0,220,192.0,327.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
236803,371335,True,38.49297786,-122.7437963,403.0,780.0,25.0,226,377.0,378.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
387600,581400,True,38.49307277,-122.7439148,476.0,801.0,12.0,229,325.0,464.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
304841,640647,True,38.4931672,-122.7440417,182.0,455.0,-1.0,232,273.0,284.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Custom,278715.0
273305,630706,False,38.4932685,-122.7441609,165.0,332.0,1.0,237,167.0,164.0,1,1.1582019848219498,1950,Post1940,RES1,2,False,1700,Average,208675.0
304841,625450,True,38.49336118,-122.7442916,206.0,401.0,22.0,240,195.0,184.0,1,1.1582019848219498,1950,Post1940,RES1,1,False,1700,Average,198322.0
298864,569903,False,38.49354695,-122.7445489,114.0,240.0,13.0,244,126.0,101.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Average,208675.0
293936,441186,True,38.49364525,-122.744671,354.0,546.0,52.0,246,192.0,302.0,1,1.1582019848219498,1960,Post1940,RES1,1,False,1700,Average,198322.0
200962,529212,True,38.49374776,-122.7448418,352.0,541.0,50.0,250,189.0,302.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
510000,175440,False,38.48748956,-122.7518825,-1.0,-1.0,-1.0,56,513.0,-1.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Custom,271167.0
382774,202323,True,38.48714077,-122.7574799,207.0,423.0,-1.0,8,216.0,252.0,1,1.1582019848219498,1940,Post1940,RES1,2,False,1700,Average,208675.0
423112,608000,False,38.5229145,-122.7217917,608.0,1401.0,223.0,52,793.0,385.0,1,1.1582019848219498,1940,Post1940,RES1,1,False,1700,Average,198322.0
