LandValue,ImprovementValue,HOEX,Latitude,Longitude,TimetoApply,RepairTime,TimetoFinal,ConstructionDelay,RepairTime.1,Neighbours
148086.0,363226.0,True,39.751674,-121.597608,194,358.0,552.0,-1.0,-1.0,122
80068.0,197840.0,True,39.737793,-121.620319,194,269.0,463.0,-1.0,-1.0,37
69620.0,428768.0,True,39.768045,-121.583898,195,398.0,593.0,-1.0,-1.0,127
56043.0,194838.0,True,39.741561,-121.591824,196,169.0,365.0,-1.0,-1.0,101
72407.0,380075.0,True,39.740632,-121.633588,196,840.0,1036.0,-1.0,-1.0,102
29424.0,108371.0,True,39.739552,-121.620371,202,335.0,537.0,-1.0,-1.0,40
54599.0,80306.0,False,39.749373,-121.623837,202,365.0,567.0,-1.0,-1.0,70
65667.0,112276.0,True,39.731853,-121.627413,203,211.0,414.0,-1.0,-1.0,51
51977.0,103408.0,True,39.749521,-121.623076,203,222.0,425.0,-1.0,-1.0,65
118667.0,152966.0,True,39.758475,-121.597123,203,379.0,582.0,-1.0,-1.0,122
67949.0,188875.0,True,39.758028,-121.582264,204,257.0,461.0,-1.0,-1.0,112
81465.0,166390.0,True,39.746537,-121.588603,204,165.0,369.0,-1.0,-1.0,136
37214.0,140052.0,True,39.744593,-121.59211,208,-1.0,-1.0,-1.0,-1.0,125
60171.0,65358.0,False,39.748101,-121.592742,208,352.0,560.0,-1.0,-1.0,141
42221.0,75220.0,False,39.751758,-121.591215,208,332.0,540.0,-1.0,-1.0,147
9225.0,118670.0,True,39.747871,-121.624803,208,430.0,638.0,-1.0,-1.0,73
9041.0,133256.0,True,39.757519,-121.580528,209,-1.0,-1.0,-1.0,-1.0,102
49591.0,167606.0,True,39.769689,-121.606674,209,-1.0,-1.0,-1.0,-1.0,112
216602.0,392700.0,True,39.742712,-121.585683,209,408.0,617.0,-1.0,-1.0,94
15767.0,112200.0,False,39.757606,-121.626818,210,117.0,327.0,-1.0,-1.0,68
198034.0,307340.0,True,39.734974,-121.593497,210,368.0,578.0,-1.0,-1.0,44
123302.0,343096.0,False,39.78946,-121.58261,210,440.0,650.0,-1.0,-1.0,97
46949.0,166431.0,False,39.76724,-121.623736,210,327.0,537.0,-1.0,-1.0,124
79647.0,266982.0,True,39.761033,-121.63089,210,426.0,636.0,-1.0,-1.0,110
92958.0,239999.0,False,39.743249,-121.632795,210,391.0,601.0,-1.0,-1.0,106
8297.0,119955.0,True,39.764916,-121.586981,211,346.0,557.0,-1.0,-1.0,147
45124.0,170416.0,True,39.773281,-121.603485,211,341.0,552.0,-1.0,-1.0,122
31083.0,27651.0,True,39.759187,-121.597885,214,365.0,579.0,-1.0,-1.0,110
141647.0,142297.0,True,39.750024,-121.623618,214,225.0,439.0,-1.0,-1.0,70
62875.0,109633.0,True,39.766532,-121.585763,214,183.0,397.0,-1.0,-1.0,143
69048.0,85478.0,False,39.764666,-121.610285,215,261.0,476.0,-1.0,-1.0,91
23627.0,111798.0,True,39.78059,-121.593182,215,358.0,573.0,-1.0,-1.0,103
170431.0,65338.0,True,39.741796,-121.59436,215,556.0,771.0,-1.0,-1.0,93
94606.0,463755.0,True,39.749683,-121.636768,215,261.0,476.0,-1.0,-1.0,83
101858.0,155658.0,True,39.736267,-121.57248,215,443.0,658.0,-1.0,-1.0,78
10650.0,91629.0,True,39.766992,-121.627319,216,383.0,599.0,-1.0,-1.0,132
66396.0,34006.0,True,39.789267,-121.585072,216,231.0,447.0,-1.0,-1.0,81
84607.0,98947.0,True,39.733579,-121.650204,217,-1.0,-1.0,-1.0,-1.0,70
50079.0,137457.0,True,39.754425,-121.58582,217,335.0,552.0,-1.0,-1.0,129
73681.0,47000.0,False,39.735652,-121.633236,217,-1.0,-1.0,-1.0,-1.0,80
183885.0,274500.0,True,39.727022,-121.617923,218,397.0,615.0,-1.0,-1.0,5
35827.0,94662.0,True,39.746969,-121.592862,218,546.0,764.0,-1.0,-1.0,139
87490.0,261381.0,False,39.735077,-121.572242,218,493.0,711.0,-1.0,-1.0,69
